Short SMA,Long SMA,CV Accuracy
30,135,0.7548616937895961
10,90,0.7451311989038953
25,140,0.7447329923142377
20,135,0.7433427241910997
30,145,0.7427474872710115
45,155,0.7310318821924462
55,120,0.7185113746517914
40,150,0.7173270209922195
45,140,0.7153413185238124
50,140,0.7133538392287784
80,195,0.7113689264610944
60,110,0.7099709587559054
70,200,0.7089860045289337
80,185,0.7064117775965854
55,110,0.7048076980026494
55,115,0.7042120662321998
75,190,0.7032342193117364
10,175,0.6992547199425097
80,200,0.6964733939955106
80,190,0.6927079035222627
90,200,0.6917061681549235
10,170,0.6911113260851969
70,110,0.6891173317591965
75,200,0.6885290047204361
70,185,0.685947078206037
55,200,0.6803879799652925
85,195,0.6797984683754474
10,165,0.6760163941870131
25,165,0.6759192609980632
85,200,0.6758175870299554
50,200,0.6748265126223789
65,195,0.6736411718369031
65,200,0.6736334722548523
70,180,0.6726396338947447
25,160,0.6723448780998222
85,190,0.6674755834407655
50,95,0.6672785531103351
75,180,0.6666896337960322
15,165,0.6650932537841472
60,195,0.6641017845262092
70,195,0.663313663204487
75,175,0.6619208285539988
60,200,0.6607260113598449
10,160,0.6603262253687407
60,155,0.6587434676943305
55,185,0.6583424971521418
25,170,0.658142900294361
15,160,0.6579429085862186
50,195,0.6573492510675767
10,155,0.6555595918036963
55,165,0.6545689122464815
55,160,0.6545671354198542
55,195,0.6539728856256699
65,190,0.652389930526079
65,170,0.6521820418107048
55,150,0.6521812521099817
50,190,0.6517881785750246
100,200,0.6513956973156099
70,170,0.6509968984504099
60,160,0.6507943402149171
60,165,0.6503949490741746
50,180,0.6490084320294717
60,150,0.649005273226579
20,160,0.6486088434635484
45,175,0.6482137956767835
70,190,0.648012816842737
65,165,0.6480108425909291
55,155,0.6476146102530793
60,170,0.6472183779152296
90,195,0.6472169959389641
10,125,0.6464219647359143
20,120,0.6460239555714373
20,165,0.6454314826038802
55,180,0.6446382282274575
15,150,0.6410608839515045
55,190,0.640666231015101
15,155,0.6406636644877508
50,175,0.6396733797808974
40,175,0.6390777480104478
35,160,0.6388773614519438
50,160,0.6384805368385517
15,145,0.6384783651615629
35,170,0.6378851024932826
50,155,0.6368916589835367
50,170,0.6364956240708677
10,150,0.6362948426620022
30,165,0.6362948426620022
70,165,0.6360928767020517
65,180,0.63569861861601
60,180,0.6353031759788834
25,150,0.6353006094515331
10,140,0.634705175106264
40,180,0.634508737051376
20,150,0.6343077582173297
10,85,0.6341079639343679
55,175,0.6339144872571917
10,115,0.6339081696514063
45,170,0.633712916147603
30,95,0.6337125212972413
55,170,0.6333176709356572
40,170,0.6333162889593915
35,165,0.6333160915342109
10,135,0.6329172926690108
15,125,0.6325177041030875
25,155,0.6315270245458727
40,165,0.6313313761917076
30,170,0.6313299942154422
60,175,0.6309347490034964
40,100,0.6301369538479156
95,200,0.6295405323767425
65,155,0.6293397509678769
100,195,0.6289526001883436
30,85,0.6285482734180814
30,160,0.6279526416476316
10,120,0.6275536453572508
25,125,0.6269578161616203
25,105,0.6263633689422552
15,140,0.625767144896263
95,195,0.6245744993790978
15,120,0.6243745076709553
20,145,0.6231854158070445
15,115,0.6231832441300558
25,135,0.6229846343981789
45,110,0.6229838446974558
40,160,0.622392951131345
10,145,0.6223917665802603
10,95,0.6221913800217562
40,125,0.6215959456764872
45,135,0.6213977307949718
45,165,0.6210044598348341
25,90,0.6209995242053143
40,135,0.6204048795607685
65,175,0.620007462671834
120,190,0.6198135911442961
15,135,0.6196094535073571
15,50,0.6196029384763909
95,190,0.6192116417680609
15,105,0.6188134351784033
30,125,0.6176219742123229
15,130,0.6174239567559884
115,200,0.6172253470241115
40,120,0.6166301101040232
40,105,0.6166289255529385
15,110,0.6164299209707
35,145,0.6162342726165352
50,165,0.6158370531527815
100,185,0.6158340917750695
105,195,0.6154374645868582
145,195,0.6151569234049525
30,150,0.6150424168000932
45,160,0.6144483644310897
35,95,0.614248767573309
110,200,0.6142460036207777
45,115,0.6142454113452354
35,155,0.6134559080472478
75,195,0.6134545260709823
50,120,0.6130535555287935
10,190,0.6127607739856786
25,110,0.6124602928605132
20,115,0.6124597005849709
10,75,0.6122601037271901
20,95,0.6120630733967595
45,105,0.6114634931226938
15,195,0.6109709172966175
90,190,0.6108704278795944
10,105,0.6108696381788712
40,155,0.6104753800928293
20,110,0.610473800691383
45,125,0.6104712341640328
15,100,0.6096777823624292
10,35,0.60967047763074
55,145,0.6092835242763874
20,125,0.6090823480171602
